AAVE,SAE,
"it's three miles to walk around the school, blah blah blah.","it's three miles to walk around the school, talk,talk,talk.",
"and he told me that i was an ath- student athlete, blah blah blah.","and he told me that i was a student athlete, talk, talk, talk..",
and he told you don't cuss cause you a sci- a ,and he told you don't curse because you are - a ,
 that was-  . mm-hm., that was-  .,
 i'm thinking on this stuff right now. , i'm thinking on these things right now. ,
cause i- i mean that was nineteen /blah blah/.,because i mean that was nineteen.,
and i'm always spending my- well my- s- my free time,and i'm always spending my- wellmy free time,
" yeah i know, yeah."," yes i know, yes.",
 back to high school- back to high- okay.,"[oh we did. okay, so back to high school- back to high- okay.",
"so you're- okay, so, before we- we gonna come back to that, but before you- your- you- before your-","so you're- okay, so, before we are going to come back to that, but before you-",
i don't know if it's still up ,"i don't know if it's still up [there, but it's on the board. up on the thing.",
"blah, blah, blah, sign here, sign there. and most people w- you have a-","talk, talk, talk, sign here, sign there. and most people you have a-",
i know you are.  cause i know- i know-,i know you are.  because i know-,
she didn't  was gonna drive there?,she didn't  was going to drive there?,
"kids today you gotta be worried, okay that got a gun, they carrying drugs dah dah dah dah.","kids today you got to be worried, okay that got a gun, they are carrying drugs and so on.",
my- my mother- all of princeville point blank is my mother's ,"my mother, all of princeville definitively is my mother's side of the family",
they was point blank born and raised in princeville,there were raised definitively in princeville,
she- she goes to- one of 'em go to a and t.,one of them attends  a and t,
one of 'em goes- a lot of 'em- some of 'em,one of them goes- a lot of them- some of them,
"let's see, where they was gonna go. she went to-","let's see, where were they going to go. she went to-",
 high school. that's all i'm gonna do.  that.,from high school. that is all i am going to do. that is how it is.,
you really probably haven't got a chance to take all your ,you probably have not had a chance to take all of your classes.,
"it's gonna be tough, but that's what i wanna do.","it is going to be tough, but that is what i want to do",
" gotta take 'em, so. and i only got one more math to take",you have to take them and i am only required to take one more math course,
what's the average day up there in school for you?,what is the average day in school like for you?,
"to the beach, and i'm like, you know, what? the beach ain't too far for me,","to the beach, and i'm like, you know what? the beach is not far from my home",
"hey i just left from greensboro. y'all goin there, ","hey, i just left from greensboro. you all going there, you know, but",
"she was like, you don't wanna go the acc? i was like,","she said, you do not want to go to the acc? i said,",
i'm leaving school work to the side cause i don't have nothing due,i'm leaving school work alone because i do not have anything due,
i don't know if i wanna. i'm leaning towards doing it because i get ahead.,i do not know if i want to. i am leaning towards doing it because i will get ahead.,
and you- wherever you- where the dice stop at you sposta put,and you-where you-where the dice stop you are supposed to put,
"you get all four of your marbles down there, you won.",you get all four of your marbles down the thing and you win.,
and what about some other games that you play like that?,what are some other games thtat you play like that?,
"some friends of mines, live on- over top of me.","some friends of mine, they live above me. ",
"any one of those programs that you said, can you tell me about it?",can you tell me about any of the programs that you just stated?,
"we try to take him out front, he wouldn't come out front.","we try to take him out front of the house, he wouldn't come to the front of the house. ",
"every time you be bad, she'll holler at you.","everytime you act bad, she would yell at you. ",
what kind of things do you do with your girlfriends?,what things do you do with your friends who are girls?,
say if s- a new girl came in your neighborhood?,for example-what happens if a new girl came to your neighborhood?,
what do you wanna be when you finish school?,what do you want to do when you finish school?,
"case if we ain't had none on us, we could put some on us.","just in case we did not have any on us, we could put some on. ",
oh well then you had lots of things happening at that party. <laugh>,oh well then a lot was happening at the party. <laugh?,
and the ghost'll come up the steps and i was tryna walk. i couldn't hardly walk.,and the ghost will come up the steps while i was trying to walk. i could hardly walk.,
"kind of, kind of run down a little bit.",it looked run down a little.,
"cause it had like, little stairs on it and then she put like rocks and everything around it.","because, it had little stairs on it and she put rocks around it",
