AAVE,SAE
"not live, live. no that's about it.","not live, live. no that is it."
and where'd you go to school?,and where did you go to school?
where'd you go to college?,where did you go to college?
"uh, he was in the military. and he now works as a contractor for the military.",he was in the military. and he now works as a contractor for the military.
so i'm gonna stop typing now.,so i'm going to stop typing now.
[no.] i was not typing whatchu were saying. i was answering the questions on my little form.,[no.] i was not typing what you were saying. i was answering the questions on my little form.
"living next door cause it was- i remember,","living next door because it was- i remember,"
[cause i] think you're just making up (laughing) stuff cause-,because i think you're just making up (laughing) stuff cause-
"uh, excuse me.",excuse me.
there weren't a whole lot of ki- i mean i'm sure there were kids,there were not a lot of ki- i mean i'm sure there were kids
"i can't remember mr.- um,","i can't remember mr.,"
"uh, the grocery store that used to be right up there, it used to be several names, but","the grocery store that used to be right up there, it used to be several names, but"
"uh, harvey's or pick 'n save?",harvey's or pick 'n save?
"yeah, but it- yeah, but it was another name. but anyway, and then one- i never forget, one day it was raining.","yes, but it- yes, but it was another name. but anyway, and then one- i never forget, one day it was raining."
"you thought i had been attacked with something. no, my bike cause i thought would never","you would have thought i had been attacked with something. no, my bike because i thought i would never"
yo- i just-,"hey, i just-"
i think she just sent it to- i don't- i don't ask for anything.,i think she just sent it to- i don't- i didn't ask for anything.
[oh but just at different] times.,but just at different] times.
yeah.,yes
"uh, okay.",okay.
[if they wanna have kids (laughing)],[if they want to have kids (laughing)]
"and- but i really lost it, cause who would fix it?","and- but i really lost it, because who would fix it?"
nobody in the neighborhood fix it [for you?],nobody in the neighborhood could fix it [for you?]
"[mm-mm], see i don't have friends like that.",see i don't have friends like that.
"uh, oklahoma,","oklahoma,"
[yeah.],yes
"nah, you were big.","no, you were big."
nah you were- mm-mm.,no you were.
eh- if you just said ten and i said eight and you said younger than that.,if you just said ten and i said eight and you said younger than that.
"mm-hm. and so like, so afraid. but just"," and so like, i was so afraid. but just"
"they'd bring her things back to the classroom. that was,","they would bring her things back to the classroom. that was,"
"she'd play that beating her chest but she would also throw erasers at us, if we were misbehave.","she would play that beating her chest but she would also throw erasers at us, if we were misbehaving."
"recent like, [in the last few-] oh, [okay.]","recently, [in the last few-] oh, [okay.]"
before it went to middle sch- cause it was middle school at one [point.],before it went to middle sch- because it was middle school at one [point.]
"no, /rd-school-3/ was always elem- they done went to fifth and sixth [grade.]","no, /rd-school-3/ was always elem- they have gone to fifth and sixth [grade.]"
[before you moved over to s- mm-hm.],[before you moved over to s-.]
"so, but now it's back to like, [up to fifth, /three/-] up to fifth grade or something [like that.]","so, but now it's back to, [up to fifth, /three/-] up to fifth grade or something [like that.]"
made it new so.,made it new.
"it's so sad, all the buildings that i re- can you imagine? they've torn them down. /rd-school-3/ elementary,","it's so sad, all of the buildings that i re- can you imagine? they've torn them down. /rd-school-3/ elementary,"
"it's three miles to walk around the school, blah blah blah.","it's three miles to walk around the school, talk,talk,talk."
