AAVE Sentence,Predicted SAE Translation,Target SAE Translation,BLEU Score
ooh [UNK] dont be talking about that,brother talk about that,dont talk about that,0.43146827293898643
um i remember one time,remember this time,remember one time,0.08621454270909737
and what do you all do you all do anything like big you have family [UNK] or family [UNK],what do you do all you do you to can when big to when when to,what do [UNK] you do any big [UNK] you have family [UNK] or family [UNK],0.05700459721383297
your [UNK] family like in your [UNK] at that time,family time in your feet neighborhood that time,immediate family in your household at that time,0.1065095472357353
so after the test we had did it,after the time we had not,after the test we did it,0.10754421249521595
ive i dont know the rest,dont not know the help,did not know the other artists,0.24521789586759227
right around [UNK],around,[UNK],0.0
you gotta deal with all the [UNK] right pretty much,have to all ask with all of ball or thats something,have got to deal with all the [UNK] right pretty much,0.061729293904138435
and he said he made his first,said he his company,said in his first year,0.056526248548690414
im a cool person like im not,a good is like im,a cool person and [UNK] to,0.037374807627842434
and see how they is now,see they are doing they,where they are now,0.12121093525642128
then when thats like,when thats,when,0.06754436142034707
everybody think im not over him im really over him,thinks im not going him im really going him,thinks im not over him im really over him,0.25256325852159667
we was over my uh,were over my,lived above my uh,0.05194672862155564
in everything you do dont never give up on something,southand you do not give give up right that,everything you do dont ever give up on something,0.08939367162920239
a little girl live upstairs from me name,little girl stuff is from from me,little girl that lives upstairs from me whos name is,0.07981929078101284
oh we did okay so back to back to high school back to high okay,we did okay so back to high school back to high name,we did okay so back to high school back to high okay,0.9036020036098448
outside or something,or something something,or something like that,0.15174681566793558
the monday night tuesday night movies like if anything be on good,the yes one one a like like,if anything is on thats good,0.0
no they all for like special events like thanksgiving,they kids of restaurants sex literally self,the [UNK] are for special events like thanksgiving,0.0
they try to get it out his mouth,bring to get it dad out,try to get the watch out of his mouth,0.06522886215299896
frequent rochester cause home like,of because here,rochester because home like,0.05194672862155564
few boys few girl,mother after dollars,few boys and a few girls,0.0
cause clearly theres something going on with rdname2 and his birthday,yes there something going on with peace and his birthday,clearly theres something going on with rdname2 and his birthday,0.37991784282579627
yeah for me thats important some people like,for me thats older as people like,for me thats important some people like,0.24279161784109232
its weird cause im st even today like i have friends,crazy because i in not quite like i have friends,weird because im st even today like i have friends,0.2777619034011791
shes like yeah this is,says oh this is,like yes this is,0.16821895003341453
we [UNK] we friends but youre not my friend no more for what you did,addicts we ha youre not my friend any more what what you did,[UNK] were friends but youre not my friend any more for what you did,0.4485608472663124
i dance in the summer time with her when when its,watchin in the tenth with her when when it,dance in the summer with her when when its,0.3549481056010053
come back the next day and its all good,back the back day and say with good,back the next day and everything is ok,0.10073051057692405
like whats your [UNK] like you get the youth involved or,is your best like you get the youth,is your role do you get the youth involved or,0.3201911827891037
its the stuff he can see but then its the people thats just way too strong thats like on they on the [UNK] side thats like,the stuff he can see if theres it the people that just talking too because because being they the ball side ball at thats like,the stuff he can see but then its the people thats just way too strong thats like on the on the [UNK] side thats like,0.1981463247873555
[UNK] okay,okay,okay,1.0
cause my,my,my,1.0
he talking [UNK],is talk,is talking about [UNK],0.02484818193359921
you had them hands,had them,had those hands,0.04096772609215166
but its [UNK] we just in there,they sad we are in in,its [UNK] we are just there,0.09717716588732002
he dont have um,does have,doesnt have,0.06754436142034707
thats when all the kids in the neighborhood um come to our church and um,when when all the the kids in the neighborhood to each age,is when all of the kids in the neighborhood um come to our church and um,0.2701368758820638
and do you see that [UNK] like people are just in fear,you see that vanilla like to just in,you see this often people are just in fear,0.0888943635799003
today i got up six thirty i thought it was seven thirty,i got up problems florida i i was it was times,i got up at six thirty i thought it was seven thirty,0.13951248267890293
his [UNK] dont have nothing to do with me listening to what,dont dont have anyhing to do with me talk to what,actions dont have anything to do with me listening to what,0.31702331385234306
how long was you dating rdname2,long a long been rdname2,long were you dating rdname2,0.05428693985879238
i guess it cause i never had the opportunity to be the new kid,guess it because i never had the opportunity to be the kids new,guess its because i never had the opportunity to be the new kid,0.6812455364200614
but somebody uh one of the [UNK] maintenance men took him,somebody was one the ball game lives me him,somebody one of the dumb maintenance men led him,0.03639174582593262
yeah whats your take on that some people think theres theres,whats your way rock people now people or there people there,whats your take on that some people think theres theres,0.057445580856132834
wow cause you felt like,because you felt like,because you felt like,1.0
you know what im saying til they start talking to you,you i started me to you start,until they start talking with you,0.03848196746087264
or i dont believe with the whole colin kaepernick thing you gotta remember he is his own person for one,i dont let with the whole brother side have you have remember remember my work his own principal one,i dont believe with the whole colin kaepernick thing youve got to remember he is his own person for one,0.09802117585102774
different attitudes cause you know a lot of people come in here they got attitudes about they [UNK],oh because you know a lot of people come in the they have are about they ball,[UNK] because you know a lot of people come in here they have attitudes about their [UNK],0.5308492544859768
tryna get into some football some sports,to get into some some with other,to get into some football some sports,0.4347208719449914
so they dont beef in the club but they beef when they leave,they dont have in the turning but they were when they are,they dont [UNK] in the club but they [UNK] when they leave,0.09549506411569358
ima work until [UNK] and then do it,will work to work until and and and then it,am going to work up to [UNK] and then [UNK] it,0.07705720691484533
my mother say we might dont go,mother doesnt we celebrate dont go,mother says we might not go,0.049475702907177795
d either you gonna get shot or you gonna get stabbed,you you you a or you fight,up getting either shot or stabbed during a fight,0.03200338713745713
man i dont even wanna speak on that donald trump is your president obama is my president okay,dont not even to claim on that man hey your my best up is my best or is,do not want to speak about that donald trump is your president obama is my president okay,0.04466945939898774
it was like all,was like,was all,0.06754436142034707
u well like i mean if im gon,well if mean if im going,like i mean if im,0.23376641384792204
like when you leave in the morning and then you come back and like,when do leave in the club and then you come back,when you leave in the morning and then you come back and,0.4412739850976206
and i was just trying em,i was just just,i was just tasting them,0.33602782883534926
did she ever give you your dollar back,she ever she your junior back,she give you your dollar back,0.049475702907177795
its just like how dc changed over time,is are to here,dc changed over time,0.0
so like your first year,your my mother year,during your first year,0.07258113984652705
i jump in it,jumped in,jumped into it,0.04096772609215166
we was going to get our hair fix,were going to get home homework done,were going to get our hair done,0.4347208719449914
yeah thats what im saying its stores like right across the street or,that what am i living like like by the street,what i mean are there stores right across the street or,0.06128134109992247
going to the plays okay rdname2 lets go to the play you supposed to say when,to the man okay rdname2 go go to the same you the to say when,to the plays okay rdname2 lets go to the play youre supposed to say when,0.17746941428408272
had such bad times with teachers um what kind of teacher are you gonna be,some each then games are are of games are you going to be,such bad times with teachers um what kind of teacher are you going to be,0.25950561931628224
no cause valdosta yeah,because yes yes yes,because valdosta yeah,0.061033220311973134
and it was like oh you live right across the street,it was like you live are the the street,we realized oh you live right across the street,0.08939367162920239
fucking watch where you going,lincoln of which president,attention to your surroundings,0.0
um i really appreciate you taking the time out to talk to me,really relate you kind the time and to talk to me,really appreciate you taking the time out to talk to me,0.2998221389342337
its like [UNK] houses i actually [UNK] ended up writing a [UNK] literally like [UNK] on my street,is cost through i actually to up he with like father and like they on my,are [UNK] houses i actually [UNK] ended up writing a [UNK] literally like [UNK] on my street,0.05355086326309536
dont havent you realized that,not have,you realized that,0.0
but you cant do that cause most of the time its a lot of [UNK] sitting around a lot of a lot of [UNK] and,you cannot do that because most of the time its a lot of gang over there a lot of depressed and,you cant do that because most of the times its a lot of dudes sitting around a lot of [UNK] and,0.4135171000263379
so its just like as the as,the is the the difference,it is as the as,0.05428693985879238
had a lot going for [UNK] and,a lot right on me and,a lot going for himself and,0.10754421249521595
and at the end youll have um,at the end educators have,at the end youll have,0.32184424080043433
that something that you can do,that see do,you can do,0.07249749990681824
but then the same thing i see about the obamacare now,then same time i see about the,the same thing i see about obamacare now,0.19018173515297712
and but then i got into oh this is how they say it in the south and this is how they say it in the north and the [UNK] and,but then i have into rdwork3 is how they say it in the conversation and this is how they say it in the chants and the chants and the,but then i got into this is how they say it in the south and this is how they say it in the north and the [UNK] and the,0.5602520952992253
get rochester rochester dont got nothing for me,some dont dont have to with me,rochester rochester doesnt have anything for me,0.03848196746087264
theyre just being scared,the year,being scared,0.0
like i feel as though,feel as though,feel as though,0.5757197301274735
what got you into cheerleading,team you start,got you started into cheerleading,0.03722145753922423
we dont take it no more we take science [UNK] of family living i got a b,dont enough a more more party we we friends and have a to of my have a,living is no longer a course at my school we have science instead of family living i got a b,0.019594650537352376
yeah we aint we dont like rdname2 whispered,we did we do like here but,we didnt we dont like rdname2 whispered,0.042587297623443834
